Case,Location,Date,Year,Fatalities,Injured,Total victims,Type of shooting,Place of incident,Age of shooter,Age Group,Race of shooter,Gender of shooter,Prior signs of mental health issues,City,State,State Code,latitude,longitude
Robb Elementary School massacre,"Uvalde, Texas",5/24/2022,2022,21,17,38,Mass,School,18,10-18,Latino,Male,Yes,Uvalde,Texas,TX,29.19983627,99.78815613
Buffalo supermarket massacre,"Buffalo, New York",5/14/2022,2022,10,3,13,Mass,Workplace,18,10-18,White,Male,Yes,Buffalo,New York,NY,42.8579928,-78.8119757
Sacramento County church shooting,"Sacramento, California",2/28/2022,2022,4,0,4,Mass,Religious,0,,Unclear,Male,Unclear,Sacramento,California,CA,38.60111019,-121.4189659
Oxford High School shooting,"Oxford, Michigan",11/30/2021,2021,4,7,11,Mass,School,15,10-18,Unclear,Male,Unclear,Oxford,Michigan,MI,42.84410784,-83.25992831
San Jose VTA shooting,"San Jose, California",5/26/2021,2021,9,0,9,Mass,Workplace,57,35-64,Unclear,Male,Yes,San Jose,California,CA,37.316097,-121.88853300000001
FedEx warehouse shooting,"Indianapolis, Indiana",4/15/2021,2021,8,7,15,Mass,Workplace,19,10-18,White,Male,Yes,Indianapolis,Indiana,IN,39.68663,-86.32313
Orange office complex shooting,"Orange, California",3/31/2021,2021,4,1,5,Mass,Workplace,44,35-64,Unclear,Male,Unclear,Orange,California,CA,33.83542,-117.85378999999999
Boulder supermarket shooting,"Boulder, Colorado",3/22/2021,2021,10,0,10,Mass,Workplace,21,19-34,Unclear,Male,Yes,Boulder,Colorado,CO,39.986961,-105.25116799999999
Atlanta massage parlor shootings,"Atlanta, Georgia",3/16/2021,2021,8,1,9,Spree,Workplace,21,19-34,White,Male,Unclear,Atlanta,Georgia,GA,34.111653000000004,-84.580376
Springfield convenience store shooting,"Springfield, Missouri",3/16/2020,2020,4,0,4,Mass,Workplace,31,19-34,Unclear,Male,Unclear,Springfield,Missouri,MO,37.210432,-93.23686
Molson Coors shooting,"Milwaukee, Wisconsin",2/26/2020,2020,5,0,5,Mass,Workplace,51,35-64,Black,Male,Unclear,Milwaukee,Wisconsin,WI,43.044511,-87.962537
